品牌,型号,雪茄,税前价格,库存,折扣,原价,链接,更新时间
cuaba,cuaba - exclusivos,cuaba - exclusivos 1 piece,11.10,sold out,0,11.10,https://selected-cigars.com/en/cuaba-exclusivos,2020-04-06 19:20
cuaba,cuaba - exclusivos,"cuaba - exclusivos 25pcs, wooden box",261.10,available,-3%,269.18,https://selected-cigars.com/en/cuaba-exclusivos,2020-04-06 19:20
bolívar,bolívar - petit coronas,bolívar - petit coronas 1pc,7.90,available,0,7.90,https://selected-cigars.com/en/bolivar-petit-coronas,2020-04-06 19:20
bolívar,bolívar - petit coronas,"bolívar - petit coronas 25pcs, wooden box",185.83,available,-3%,191.58,https://selected-cigars.com/en/bolivar-petit-coronas,2020-04-06 19:20
saint luis rey,saint luis rey - regios,saint luis rey - regios 1 piece,9.70,available,0,9.70,https://selected-cigars.com/en/saint-luis-rey-regios,2020-04-06 19:20
saint luis rey,saint luis rey - regios,"saint luis rey - regios 25pcs, wooden box",228.17,small quantities available,-3%,235.23,https://selected-cigars.com/en/saint-luis-rey-regios,2020-04-06 19:20
cuaba,cuaba - tradicionales,cuaba - tradicionales 1 piece,8.00,available,0,8.00,https://selected-cigars.com/en/cuaba-tradicionales,2020-04-06 19:20
cuaba,cuaba - tradicionales,"cuaba - tradicionales 25pcs, wooden box",188.18,available,-3%,194.00,https://selected-cigars.com/en/cuaba-tradicionales,2020-04-06 19:20
por larrañaga,por larrañaga - panetelas,por larrañaga - panetelas 1 piece,3.60,available,0,3.60,https://selected-cigars.com/en/por-larra-aga-panetelas,2020-04-06 19:20
por larrañaga,por larrañaga - panetelas,por larrañaga - panetelas 25pcs box,84.68,available,-3%,87.30,https://selected-cigars.com/en/por-larra-aga-panetelas,2020-04-06 19:20
h. upmann,h. upmann - coronas minor a/t,"h. upmann - coronas minor 1 piece, alu tubos",6.30,available,0,6.30,https://selected-cigars.com/en/h-upmann-coronas-minor,2020-04-06 19:20
h. upmann,h. upmann - coronas minor a/t,"h. upmann - coronas minor 25pcs, alu tubos",148.20,small quantities available,-3%,152.78,https://selected-cigars.com/en/h-upmann-coronas-minor,2020-04-06 19:20
h. upmann,h. upmann - connossieur no.1,h. upmann - connossieur no. 1 1 piece,10.50,available,0,10.50,https://selected-cigars.com/en/h-upmann-connossieur-no-1,2020-04-06 19:20
h. upmann,h. upmann - connossieur no.1,"h. upmann - connossieur no. 1 25pcs, wooden box",246.99,available,-3%,254.63,https://selected-cigars.com/en/h-upmann-connossieur-no-1,2020-04-06 19:20
cohiba,cohiba - linea 1492 siglo i,cohiba - linea 1492 siglo i / 1pc,12.00,available,0,12.00,https://selected-cigars.com/en/cohiba-linea-1492-siglo-i,2020-04-06 19:20
cohiba,cohiba - linea 1492 siglo i,cohiba - linea 1492 siglo i a/t 1pc,13.20,available,0,13.20,https://selected-cigars.com/en/cohiba-linea-1492-siglo-i,2020-04-06 19:20
cohiba,cohiba - linea 1492 siglo i,cohiba - linea 1492 siglo i a/t 3pcs,37.26,available,-3%,38.41,https://selected-cigars.com/en/cohiba-linea-1492-siglo-i,2020-04-06 19:20
cohiba,cohiba - linea 1492 siglo i,cohiba - linea 1492 siglo i 5pcs,56.45,available,-3%,58.20,https://selected-cigars.com/en/cohiba-linea-1492-siglo-i,2020-04-06 19:20
cohiba,cohiba - linea 1492 siglo i,"cohiba - linea 1492 siglo i 25pcs, wooden box",282.27,available,-3%,291.00,https://selected-cigars.com/en/cohiba-linea-1492-siglo-i,2020-04-06 19:20
el rey del mundo,el rey del mundo - demi tasse,el rey del mundo - demi tasse 1 piece,4.60,available,0,4.60,https://selected-cigars.com/en/el-rey-del-mundo-demi-tasse,2020-04-06 19:20
el rey del mundo,el rey del mundo - demi tasse,"el rey del mundo - demi tasse 25pcs, wooden box",108.20,small quantities available,-3%,111.55,https://selected-cigars.com/en/el-rey-del-mundo-demi-tasse,2020-04-06 19:20
san cristóbal,san cristobal - la fuerza,san cristobal - la fuerza 1 piece,13.20,available,0,13.20,https://selected-cigars.com/en/san-cristobal-la-fuerza-2376,2020-04-06 19:20
san cristóbal,san cristobal - la fuerza,san cristobal - la fuerza 25pcs,310.50,available,-3%,320.10,https://selected-cigars.com/en/san-cristobal-la-fuerza-2376,2020-04-06 19:20
punch,punch - coronations,"punch - coronations 1 piece, alu tubos",6.90,available,0,6.90,https://selected-cigars.com/en/punch-coronations,2020-04-06 19:20
