雪茄,税前价格,折扣,原价,链接
Cuaba - Tradicionales 1 piece,8.00,0,8.00,https://selected-cigars.com/en/cuaba-tradicionales
"Cuaba - Tradicionales 25pcs, wooden Box",188.18,-3%,194.00,https://selected-cigars.com/en/cuaba-tradicionales
Ramón Allones - Small Club Coronas 1 piece,6.30,0,6.30,https://selected-cigars.com/en/ramon-allones-small-club-coronas
"Ramón Allones - Small Club Coronas 25pcs, wooden Box",148.20,-3%,152.78,https://selected-cigars.com/en/ramon-allones-small-club-coronas
Vegueros - Mananitas 1pc,5.10,0,5.10,https://selected-cigars.com/en/catalog/product/view/id/443/s/vegueros-mananitas/category/107/
Vegueros - Mananitas 4pcs box,19.20,-3%,19.79,https://selected-cigars.com/en/catalog/product/view/id/443/s/vegueros-mananitas/category/107/
Vegueros - Mananitas 16 pcs box,76.78,-3%,79.15,https://selected-cigars.com/en/catalog/product/view/id/443/s/vegueros-mananitas/category/107/
Rafael González - Panetelas Extra 1 piece,3.10,0,3.10,https://selected-cigars.com/en/rafael-gonzalez-panetelas-extra
"Rafael González - Panetelas Extra 25pcs, wooden Box",72.92,-3%,75.18,https://selected-cigars.com/en/rafael-gonzalez-panetelas-extra
Vegas Robaina - Famosos 1 piece,11.40,0,11.40,https://selected-cigars.com/en/vegas-robaina-famosos
"Vegas Robaina - Famosos 25pcs, wooden Box",268.16,-3%,276.45,https://selected-cigars.com/en/vegas-robaina-famosos
H.Upmann Epicures 1 piece,3.90,0,3.90,https://selected-cigars.com/en/h-upmann-epicures
"H.Upmann Epicures 25pcs, wooden Box",91.74,-3%,94.58,https://selected-cigars.com/en/h-upmann-epicures
Bolívar - Belicosos Finos 1pc,12.80,0,12.80,https://selected-cigars.com/en/bolivar-belicosos-finos
Bolívar - Belicosos Finos 25pcs Box,301.09,-3%,310.40,https://selected-cigars.com/en/bolivar-belicosos-finos
El Rey del Mundo - Demi Tasse 1 piece,4.60,0,4.60,https://selected-cigars.com/en/el-rey-del-mundo-demi-tasse
"El Rey del Mundo - Demi Tasse 25pcs, wooden Box",108.20,-3%,111.55,https://selected-cigars.com/en/el-rey-del-mundo-demi-tasse
Montecristo - Petit Edmundos 1 piece,11.40,0,11.40,https://selected-cigars.com/en/montecristo-petit-edmundos
"Montecristo - Petit Edmundos 10pcs, wooden Box",107.26,-3%,110.58,https://selected-cigars.com/en/montecristo-petit-edmundos
"Montecristo - Petit Edmundos 25pcs,wooden Box",268.16,-3%,276.45,https://selected-cigars.com/en/montecristo-petit-edmundos
H. Upmann - Connossieur No. 1 1 piece,10.50,0,10.50,https://selected-cigars.com/en/h-upmann-connossieur-no-1
"H. Upmann - Connossieur No. 1 25pcs, wooden Box",246.99,-3%,254.63,https://selected-cigars.com/en/h-upmann-connossieur-no-1
Hoyo de Monterrey - Petit Robustos 1 piece,9.50,0,9.50,https://selected-cigars.com/en/hoyo-de-monterrey-petit-robustos
Hoyo de Monterrey - Petit Robustos 3pcs Box,26.82,-3%,27.65,https://selected-cigars.com/en/hoyo-de-monterrey-petit-robustos
"Hoyo de Monterrey - Petit Robustos 25pcs, wooden Box",223.47,-3%,230.38,https://selected-cigars.com/en/hoyo-de-monterrey-petit-robustos
Saint Luis Rey - Regios 1 piece,9.70,0,9.70,https://selected-cigars.com/en/saint-luis-rey-regios
"Saint Luis Rey - Regios 25pcs, wooden Box",228.17,-3%,235.23,https://selected-cigars.com/en/saint-luis-rey-regios
La Flor de Cano - Petit Coronas 1er,3.40,0,3.40,https://selected-cigars.com/en/la-flor-de-cano-petit-coronas
La Flor de Cano - Petit Coronas 25pcs Box,79.98,-3%,82.45,https://selected-cigars.com/en/la-flor-de-cano-petit-coronas
Cuaba - Divinos 1 piece,7.00,0,7.00,https://selected-cigars.com/en/cuaba-divinos
"Cuaba - Divinos 25pcs, wooden Box",164.66,-3%,169.75,https://selected-cigars.com/en/cuaba-divinos
"Punch - Coronations 1 piece, Alu Tubos",6.90,0,6.90,https://selected-cigars.com/en/punch-coronations
"Punch - Coronations 25pcs,  Alu Tubos",162.31,-3%,167.33,https://selected-cigars.com/en/punch-coronations
Bolívar - Petit Coronas 1pc,7.90,0,7.90,https://selected-cigars.com/en/bolivar-petit-coronas
"Bolívar - Petit Coronas 25pcs, wooden Box",185.83,-3%,191.58,https://selected-cigars.com/en/bolivar-petit-coronas
Por Larrañaga - Panetelas 25pcs Box,84.68,-3%,87.30,https://selected-cigars.com/en/por-larra-aga-panetelas
Hoyo de Monterrey - Hoyo du Maire 1 piece,5.50,0,5.50,https://selected-cigars.com/en/hoyo-de-monterrey-hoyo-du-maire
"Hoyo de Monterrey - Hoyo du Maire 25pcs, wooden Box",129.38,-3%,133.38,https://selected-cigars.com/en/hoyo-de-monterrey-hoyo-du-maire
Hoyo de Monterrey - Palmas Extra 1 piece,5.70,0,5.70,https://selected-cigars.com/en/hoyo-de-monterrey-palmas-extra
"Hoyo de Monterrey - Palmas Extra 25pcs, wooden Box",134.08,-3%,138.23,https://selected-cigars.com/en/hoyo-de-monterrey-palmas-extra
Bolívar - Coronas Junior 1pc,6.90,0,6.90,https://selected-cigars.com/en/bolivar-coronas-junior
Bolívar - Coronas Junior 25pcs Box,162.31,-3%,167.33,https://selected-cigars.com/en/bolivar-coronas-junior
H. Upmann - Magnum 46 1 piece,12.10,0,12.10,https://selected-cigars.com/en/h-upmann-magnum-46
"H. Upmann - Magnum 46 1 piece,  Alu Tubo",13.00,0,13.00,https://selected-cigars.com/en/h-upmann-magnum-46
"H. Upmann - Magnum 46 25pcs, wooden Box",284.63,-3%,293.43,https://selected-cigars.com/en/h-upmann-magnum-46
Juan López - Selección No. 2 1 piece,10.00,0,10.00,https://selected-cigars.com/en/juan-lopez-seleccion-no-2
"Juan López - Selección No. 2 25pcs, wooden Box",235.22,-3%,242.50,https://selected-cigars.com/en/juan-lopez-seleccion-no-2
Por Larrañaga - Montecarlos 1 piece,5.20,0,5.20,https://selected-cigars.com/en/por-larra-aga-montecarlos
"Por Larrañaga - Montecarlos 25pcs, wooden Box",122.32,-3%,126.10,https://selected-cigars.com/en/por-larra-aga-montecarlos
Montecristo - No. 1 1 piece,13.40,0,13.40,https://selected-cigars.com/en/montecristo-no-1
"Montecristo - No. 1 25pcs, wooden Box",315.20,-3%,324.95,https://selected-cigars.com/en/montecristo-no-1
Partagás - Shorts 1 piece,6.60,0,6.60,https://selected-cigars.com/en/partagas-shorts
"Partagás - Shorts 25pcs, wooden box",155.25,-3%,160.05,https://selected-cigars.com/en/partagas-shorts
"Partagás - Shorts 50pcs, wooden Box",310.50,-3%,320.10,https://selected-cigars.com/en/partagas-shorts
Romeo y Julieta - Short Churchills 1 piece,11.60,0,11.60,https://selected-cigars.com/en/romeo-y-julieta-short-churchills
Romeo y Julieta - Short Churchills Alu Tubo 1 piece,12.70,0,12.70,https://selected-cigars.com/en/romeo-y-julieta-short-churchills
Romeo y Julieta - Short Churchills Alu Tubo 3pcs,35.85,-3%,36.96,https://selected-cigars.com/en/romeo-y-julieta-short-churchills
"Romeo y Julieta - Short Churchills 10pcs, wooden Box",109.14,-3%,112.52,https://selected-cigars.com/en/romeo-y-julieta-short-churchills
"Romeo y Julieta - Short Churchills 25pcs, wooden Box",272.86,-3%,281.30,https://selected-cigars.com/en/romeo-y-julieta-short-churchills
Montecristo - Especial No. 2 1 piece,13.30,0,13.30,https://selected-cigars.com/en/montecristo-especial-no-2
"Montecristo - Especial No. 2 25pcs, wooden Box",312.85,-3%,322.53,https://selected-cigars.com/en/montecristo-especial-no-2
"H. Upmann - Coronas Minor 1 piece, Alu Tubos",6.30,0,6.30,https://selected-cigars.com/en/h-upmann-coronas-minor
"H. Upmann - Coronas Minor 25pcs, Alu Tubos",148.20,-3%,152.78,https://selected-cigars.com/en/h-upmann-coronas-minor
Quintero - Favoritos 1 piece,3.20,0,3.20,https://selected-cigars.com/en/quintero-favoritos
Quintero - Favoritos A/T  1x Tubo,3.90,0,3.90,https://selected-cigars.com/en/quintero-favoritos
Quintero - Favoritos A/T  3x Pack,11.70,0,11.70,https://selected-cigars.com/en/quintero-favoritos
Quintero - Favoritos 5pcs,15.05,-3%,15.52,https://selected-cigars.com/en/quintero-favoritos
"Quintero - Favoritos 25pcs, wooden Box",75.27,-3%,77.60,https://selected-cigars.com/en/quintero-favoritos
Cuaba - Exclusivos 1 piece,11.10,0,11.10,https://selected-cigars.com/en/cuaba-exclusivos
"Cuaba - Exclusivos 25pcs, wooden Box",261.10,-3%,269.18,https://selected-cigars.com/en/cuaba-exclusivos
Montecristo - Medias Coronas 1pc,6.50,0,6.50,https://selected-cigars.com/en/montecristo-medias-coronas
Montecristo - Medias Coronas 5pc metal box,36.70,-3%,37.83,https://selected-cigars.com/en/montecristo-medias-coronas
Montecristo - Medias Coronas 25 box,152.90,-3%,157.63,https://selected-cigars.com/en/montecristo-medias-coronas
"Vegas Robaina - Unicos 25pcs, wooden Box",348.13,-3%,358.90,https://selected-cigars.com/en/vegas-robaina-unicos
Punch  - Short de Punch 10 pcs box/ 1 Box per Customer,101.62,-3%,104.76,https://selected-cigars.com/en/punch-short-de-punch
Jose La Piedra - Conservas 1 piece,2.40,0,2.40,https://selected-cigars.com/en/jose-la-piedra-conservas
Jose La Piedra - Conservas 5pcs,11.29,-3%,11.64,https://selected-cigars.com/en/jose-la-piedra-conservas
Jose La Piedra - Conservas 25pcs,56.45,-3%,58.20,https://selected-cigars.com/en/jose-la-piedra-conservas
San Cristobal - La Fuerza 1 piece,13.20,0,13.20,https://selected-cigars.com/en/san-cristobal-la-fuerza-2376
San Cristobal - La Fuerza 25pcs,310.50,-3%,320.10,https://selected-cigars.com/en/san-cristobal-la-fuerza-2376
Juan López - Selección No. 1 1 piece,10.90,0,10.90,https://selected-cigars.com/en/juan-lopez-seleccion-no-1
"Juan López - Selección No. 1 25pcs, wooden Box",256.40,-3%,264.33,https://selected-cigars.com/en/juan-lopez-seleccion-no-1
"Punch - Petit Coronations 1 piece, Alu Tubos",6.20,0,6.20,https://selected-cigars.com/en/punch-petit-coronations
"Punch - Petit Coronations 25pcs, Alu Tubos",145.84,-3%,150.35,https://selected-cigars.com/en/punch-petit-coronations
Sancho Panza - Non Plus 1 piece,7.40,0,7.40,https://selected-cigars.com/en/sancho-panza-non-plus
"Sancho Panza - Non Plus 25pcs, wooden Box",174.07,-3%,179.45,https://selected-cigars.com/en/sancho-panza-non-plus
"H. Upmann - Coronas Major 1 piece,  Alu Tubos",6.70,0,6.70,https://selected-cigars.com/en/h-upmann-coronas-major
"H. Upmann - Coronas Major 25pcs, Alu Tubos",157.61,-3%,162.48,https://selected-cigars.com/en/h-upmann-coronas-major
Montecristo - OPEN Master 1 piece,12.30,0,12.30,https://selected-cigars.com/en/montecristo-open-master
"Montecristo - OPEN Master 1 piece, Alu Tubos",13.30,0,13.30,https://selected-cigars.com/en/montecristo-open-master
"Montecristo - OPEN Master 3pcs, Alu Tubos",37.54,-3%,38.70,https://selected-cigars.com/en/montecristo-open-master
"Montecristo - OPEN Master 20pcs, wooden Box",231.46,-3%,238.62,https://selected-cigars.com/en/montecristo-open-master
Partagás - Super Partagás 1 piece,5.20,0,5.20,https://selected-cigars.com/en/partagas-super-partagas
"Partagás - Super Partagás 25pcs, wooden Box",122.32,-3%,126.10,https://selected-cigars.com/en/partagas-super-partagas
Cohiba - LINEA 1492 Siglo I 1pc *** 5pcs per customer ***,12.00,0,12.00,https://selected-cigars.com/en/cohiba-linea-1492-siglo-i
Cohiba - LINEA 1492 Siglo I A/T 1pc,13.20,0,13.20,https://selected-cigars.com/en/cohiba-linea-1492-siglo-i
Cohiba - LINEA 1492 Siglo I A/T 3pcs,37.26,-3%,38.41,https://selected-cigars.com/en/cohiba-linea-1492-siglo-i
"Cohiba - LINEA 1492 Siglo I 25pcs, wooden Box *** 1 Box per customer ***",282.27,-3%,291.00,https://selected-cigars.com/en/cohiba-linea-1492-siglo-i
Romeo y Julieta - Coronitas en Cedro 1 piece,4.80,0,4.80,https://selected-cigars.com/en/romeo-y-julieta-coronitas-en-cedro
"Romeo y Julieta - Coronitas en Cedro 25pcs, wooden box",112.91,-3%,116.40,https://selected-cigars.com/en/romeo-y-julieta-coronitas-en-cedro
Romeo y Julieta - Petit Churchills 1 piece,9.80,0,9.80,https://selected-cigars.com/en/romeo-y-julieta-petit-churchills
"Romeo y Julieta - Petit Churchills 1 piece, Alu Tubo",10.90,0,10.90,https://selected-cigars.com/en/romeo-y-julieta-petit-churchills
"Romeo y Julieta - Petit Churchills 3pcs, Alu Tubo",30.77,-3%,31.72,https://selected-cigars.com/en/romeo-y-julieta-petit-churchills
"Romeo y Julieta - Petit Churchills 25pcs, wooden Box",230.52,-3%,237.65,https://selected-cigars.com/en/romeo-y-julieta-petit-churchills
QUAI D´ORSAY NO.50 - 1PC,8.40,0,8.40,https://selected-cigars.com/en/quai-d-orday-no-50
"Romeo y Julieta - Romeo No. 2 1 piece, Alu Tubos",6.90,0,6.90,https://selected-cigars.com/en/romeo-y-julieta-romeo-no-2
"Romeo y Julieta - Romeo No. 2 3pcs, Alu Tubos",19.48,-3%,20.08,https://selected-cigars.com/en/romeo-y-julieta-romeo-no-2
